folder,album_artist,album,current_genre,tracks,new_genre,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD17,Miles Davis,The Complete Miles Davis At Montreux (CD 17),Jazz,7,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD18,Miles Davis,The Complete Miles Davis At Montreux (CD 18),Jazz,4,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD18,Miles Davis,The Complete Miles Davis At Montreux (CD 18),Jazz,4,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD19,Miles Davis,The Complete Miles Davis At Montreux (CD 19),Jazz,15,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD19,Miles Davis,The Complete Miles Davis At Montreux (CD 19),Jazz,15,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD02,Miles Davis,The Complete Miles Davis At Montreux (CD 2),Jazz,3,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD02,Miles Davis,The Complete Miles Davis At Montreux (CD 2),Jazz,3,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD20,Miles Davis,The Complete Miles Davis At Montreux (CD 20),Jazz,6,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD20,Miles Davis,The Complete Miles Davis At Montreux (CD 20),Jazz,6,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD03,Miles Davis,The Complete Miles Davis At Montreux (CD 3),Jazz,5,Jazz,
